rate,clean_model_clean,poison_model_clean,poison_model_poison
0.01,937322.2048191527,987158.1709495077,7566291.663280299
0.05,651463.1519848331,732507.0334177968,4927105.3522232985
0.1,973742.8267807328,1070713.8802480632,3964439.829727225
0.2,887387.835535337,810754.6166281009,2529313.307961045
0.3,1079685.478761556,1603978.1871962918,2135045.524583571
0.01,961948.109626687,872569.7127161192,7935547.030651757
0.05,647896.6993304255,823717.2650911969,4190270.7740288386
0.1,582258.607409635,458818.8396283426,1663367.9806321345
0.2,1098607.0270950198,1112830.5882111378,2175738.655303036
0.3,447077.52745463524,903793.0454307691,2063764.2252033032
0.4,922943.9814448981,1095703.2908083051,1495169.5765450266
0.01,779014.327939124,453575.02402812213,4812314.216949374
0.05,661069.0983612675,654515.8318875034,4302295.501172789
0.1,654822.7238278252,530768.5341585957,3733096.7000950323
0.2,677430.9831103717,1219625.2480872287,3465382.0951743745
0.3,875808.5291769449,1588098.7624692149,2385023.5739237186
0.4,712612.2009875915,1651997.1448967033,1726151.9973024572
0.01,522995.1921392465,375182.0355972541,9836282.08655968
0.05,589449.770188612,923387.7694823011,4921764.86083886
0.1,997977.7323140798,754981.4323364343,2517693.0819803053
0.2,489971.6611254024,847145.3473312615,2785216.2503234586
0.3,830704.3360192851,1064619.2050160447,2084537.1847663973
0.4,671275.5907001712,1315275.767176496,1539446.7828027003
0.01,923338.6833232555,1171537.568133787,8027311.545864864
0.05,797903.3438054614,842899.3462143673,4059040.371087106
0.1,951189.0007833232,988296.9567201565,4591925.184162321
0.2,807011.0544689447,1543030.7182114467,3688405.8910970325
0.3,1057341.0743787307,1107066.5866119575,2142668.727012554
0.4,993325.4028971877,1301741.1959695278,1617916.1898602035
0.01,446920.3298212217,1166474.7294510293,7654357.305967762
0.05,587538.1987802408,466492.294743353,2618798.3984578545
0.1,731394.3021334198,799864.4553541401,2643717.131741936
0.2,791002.4095863398,1380055.0469500553,3407921.2187478836
0.3,531719.6467617847,555695.4270181217,1268853.1812148006
0.4,455135.86547525675,932735.3660182538,892466.9733438735
0.01,569594.8625888724,1032473.788713448,6332608.132198955
0.05,709872.1820322861,392930.57943831367,2372232.5959128314
0.1,484174.573009316,527993.6130661077,1934150.0815268937
0.2,554688.8041881418,1003308.6804986564,3198083.621640483
0.3,580907.8967212426,1421077.3948692188,2492615.7552929837
0.4,573880.5796689602,1241645.7393642846,1394937.8228336533
