rate,clean_model,poison_model
0.01,0.9622559652928416,0.9661605206073752
0.05,0.9587852494577006,0.9663774403470716
0.1,0.9537960954446855,0.9650759219088937
0.2,0.955531453362256,0.968112798264642
0.3,0.9559652928416486,0.9735357917570499
0.01,0.9633405639913232,0.9802603036876356
0.05,0.9720173535791757,0.956182212581345
0.1,0.9598698481561823,0.9737527114967462
0.2,0.9741865509761388,0.979175704989154
0.3,0.9761388286334056,0.9774403470715836
0.4,0.9592190889370933,0.9819956616052061
0.01,0.9598698481561823,0.9785249457700651
0.05,0.9533622559652929,0.9746203904555315
0.1,0.9746203904555315,0.9663774403470716
0.2,0.9724511930585683,0.96941431670282
0.3,0.9581344902386117,0.979175704989154
0.4,0.955531453362256,0.9856832971800434
0.01,0.975704989154013,0.9765726681127983
0.05,0.9778741865509761,0.9592190889370933
0.1,0.9559652928416486,0.9770065075921909
0.2,0.9752711496746204,0.9646420824295011
0.3,0.9507592190889371,0.972885032537961
0.4,0.96941431670282,0.9828633405639913
0.01,0.9806941431670282,0.9620390455531453
0.05,0.9661605206073752,0.972885032537961
0.1,0.9598698481561823,0.9566160520607375
0.2,0.9566160520607375,0.9704989154013015
0.3,0.9585683297180043,0.9733188720173536
0.4,0.9624728850325379,0.9835140997830802
0.01,0.9741865509761388,0.9618221258134491
0.05,0.9581344902386117,0.9713665943600868
0.1,0.972234273318872,0.9774403470715836
0.2,0.9772234273318872,0.968763557483731
0.3,0.9767895878524946,0.9763557483731019
0.4,0.9783080260303688,0.9839479392624729
0.01,0.9793926247288504,0.9642082429501084
0.05,0.96529284164859,0.9780911062906724
0.1,0.9765726681127983,0.9750542299349241
0.2,0.9739696312364425,0.968763557483731
0.3,0.9724511930585683,0.96941431670282
0.4,0.9765726681127983,0.9848156182212582
