rate,clean_clean,poison_clean,poison_poison
0.01,0.9622559652928416,0.9657266811279827,0.9573170731707317
0.05,0.9587852494577006,0.9650759219088937,0.9066265060240963
0.1,0.9537960954446855,0.9609544468546638,0.8502673796791443
0.2,0.955531453362256,0.9566160520607375,0.7563451776649747
0.3,0.9559652928416486,0.9505422993492407,0.6809859154929577
0.01,0.9633405639913232,0.9798264642082429,0.9745222929936306
0.05,0.9720173535791757,0.954229934924078,0.8997050147492626
0.1,0.9598698481561823,0.9676789587852495,0.8545780969479354
0.2,0.9741865509761388,0.9700650759219089,0.7849133537206932
0.3,0.9761388286334056,0.9505422993492407,0.6664320900774102
0.4,0.9592190889370933,0.920824295010846,0.5667384284176534
0.01,0.9598698481561823,0.9785249457700651,0.9814814814814815
0.05,0.9533622559652929,0.9720173535791757,0.9182389937106918
0.1,0.9746203904555315,0.9603036876355748,0.8704379562043796
0.2,0.9724511930585683,0.9596529284164859,0.762641898864809
0.3,0.9581344902386117,0.9522776572668112,0.6643356643356644
0.4,0.955531453362256,0.9279826464208243,0.5935483870967742
0.01,0.975704989154013,0.9763557483731019,0.98125
0.05,0.9778741865509761,0.9574837310195228,0.906832298136646
0.1,0.9559652928416486,0.9739696312364425,0.8851851851851852
0.2,0.9752711496746204,0.9518438177874187,0.768920282542886
0.3,0.9507592190889371,0.9581344902386117,0.6730225988700564
0.4,0.96941431670282,0.9136659436008677,0.58968850698174
0.01,0.9806941431670282,0.9611713665943601,0.9571428571428572
0.05,0.9661605206073752,0.9720173535791757,0.9020771513353115
0.1,0.9598698481561823,0.9535791757049892,0.8309608540925267
0.2,0.9566160520607375,0.9544468546637744,0.7722672064777328
0.3,0.9585683297180043,0.9563991323210412,0.6575052854122622
0.4,0.9624728850325379,0.8978308026030368,0.5832438238453276
0.01,0.9741865509761388,0.9616052060737527,0.9536423841059603
0.05,0.9581344902386117,0.9711496746203905,0.9207317073170732
0.1,0.972234273318872,0.9739696312364425,0.8724954462659381
0.2,0.9772234273318872,0.9577006507592191,0.780241935483871
0.3,0.9767895878524946,0.9464208242950108,0.6798029556650246
0.4,0.9783080260303688,0.923644251626898,0.5920558239398819
0.01,0.9793926247288504,0.9637744034707159,0.949685534591195
0.05,0.96529284164859,0.9774403470715836,0.9317507418397626
0.1,0.9765726681127983,0.971583514099783,0.8790613718411552
0.2,0.9739696312364425,0.956182212581345,0.7530241935483871
0.3,0.9724511930585683,0.9425162689804772,0.673654786862334
0.4,0.9765726681127983,0.923644251626898,0.5886792452830188
